Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PMIC_ON_REQ","OffPage","05 MODULE","5","MAIN","R71.1","1320","250","1D","{3}"
"PMIC_ON_REQ","OffPage","03 6UL","3","MAIN","U1.3","220","110","5D","{5}"
"ENET2_RXER","OffPage","04 ETH","4","MAIN","R37.2","1400","440","1C","{3}"
"ENET2_RXER","OffPage","03 6UL","3","MAIN","U1.81","550","680","4B","{4}"
"ENET2_CRS_DV","OffPage","04 ETH","4","MAIN","R36.2","1400","430","1C","{3}"
"ENET2_CRS_DV","OffPage","03 6UL","3","MAIN","U1.80","550","690","4B","{4}"
"ENET2_TXD0","OffPage","04 ETH","4","MAIN","R30.2","1470","280","1C","{3}"
"ENET2_TXD0","OffPage","03 6UL","3","MAIN","U1.85","550","640","4B","{4}"
"ENET_RST","OffPage","04 ETH","4","MAIN","C6.2,R27.1,U6.15","1470","300","1C","{3}"
"ENET_RST","OffPage","03 6UL","3","MAIN","U1.9","220","170","5D","{4}"
"ENET_MDC","OffPage","04 ETH","4","MAIN","R33.2","1470","320","1C","{3}"
"ENET_MDC","OffPage","03 6UL","3","MAIN","U1.47","290","550","5C","{4}"
"ENET_MDIO","OffPage","04 ETH","4","MAIN","R35.2","1400","420","1C","{3}"
"ENET_MDIO","OffPage","03 6UL","3","MAIN","U1.46","290","540","5C","{4}"
"ENET2_RXD1","OffPage","04 ETH","4","MAIN","R39.2","1400","460","1C","{3}"
"ENET2_RXD1","OffPage","03 6UL","3","MAIN","U1.82","550","670","4B","{4}"
"ETH1_TXP","OffPage","04 ETH","4","MAIN","J2.1,U4.1,U4.6","450","180","4D","{3}"
"ETH1_TXP","OffPage","03 6UL","3","MAIN","U1.73","550","760","4B","{4}"
"ETH1_RXP","OffPage","04 ETH","4","MAIN","J2.3,U5.1,U5.6","450","200","4D","{3}"
"ETH1_RXP","OffPage","03 6UL","3","MAIN","U1.76","550","730","4B","{4}"
"ENET2_TX_CLK","OffPage","04 ETH","4","MAIN","R32.1","1010","310","2C","{3}"
"ENET2_TX_CLK","OffPage","03 6UL","3","MAIN","U1.78","550","710","4B","{4}"
"ENET2_RXD0","OffPage","04 ETH","4","MAIN","R38.2","1400","450","1C","{3}"
"ENET2_RXD0","OffPage","03 6UL","3","MAIN","U1.79","550","700","4B","{4}"
"ENET2_TXD1","OffPage","04 ETH","4","MAIN","R28.2","1470","270","1D","{3}"
"ENET2_TXD1","OffPage","03 6UL","3","MAIN","U1.84","550","650","4B","{4}"
"ENET2_TXEN","OffPage","04 ETH","4","MAIN","R31.2","1470","290","1C","{3}"
"ENET2_TXEN","OffPage","03 6UL","3","MAIN","U1.83","550","660","4B","{4}"
"SD2_D2","OffPage","04 ETH","4","MAIN","R44.2,R50.1","120","710","5B","{3}"
"SD2_D2","OffPage","03 6UL","3","MAIN","U1.111","550","380","4C","{4}"
"ETH1_TXN","OffPage","04 ETH","4","MAIN","J2.2,U4.3,U4.4","450","190","4D","{3}"
"ETH1_TXN","OffPage","03 6UL","3","MAIN","U1.72","550","770","4B","{4}"
"WLAN_GPIO1","OffPage","04 ETH","4","MAIN","R49.1","120","690","5B","{3}"
"WLAN_GPIO1","OffPage","03 6UL","3","MAIN","U1.119","550","300","4C","{4}"
"SD2_D0","OffPage","04 ETH","4","MAIN","R48.2,R56.1","120","810","5B","{3}"
"SD2_D0","OffPage","03 6UL","3","MAIN","U1.109","550","400","4C","{4}"
"SD2_CLK","OffPage","04 ETH","4","MAIN","R54.1","120","790","5B","{3}"
"SD2_CLK","OffPage","03 6UL","3","MAIN","U1.108","550","410","4C","{4}"
"SD_CMD","OffPage","04 ETH","4","MAIN","R46.2,R52.1","120","750","5B","{3}"
"SD_CMD","OffPage","03 6UL","3","MAIN","U1.107","550","420","4C","{4}"
"SD2_D3","OffPage","04 ETH","4","MAIN","R45.2,R51.1","120","730","5B","{3}"
"SD2_D3","OffPage","03 6UL","3","MAIN","U1.112","550","370","4C","{4}"
"SD2_D1","OffPage","04 ETH","4","MAIN","R47.2,R53.1","120","770","5B","{3}"
"SD2_D1","OffPage","03 6UL","3","MAIN","U1.110","550","390","4C","{4}"
"ETH1_LED1","OffPage","04 ETH","4","MAIN","J2.9","450","150","4D","{3}"
"ETH1_LED1","OffPage","03 6UL","3","MAIN","U1.69","280","770","5B","{4}"
"WLAN_PWR","OffPage","04 ETH","4","MAIN","R63.1,R64.1","100","1020","5A","{3}"
"WLAN_PWR","OffPage","03 6UL","3","MAIN","U1.22","220","300","5C","{4}"
"ETH1_LED2","OffPage","04 ETH","4","MAIN","J2.11","450","270","4D","{3}"
"ETH1_LED2","OffPage","03 6UL","3","MAIN","U1.70","280","780","5B","{4}"
"ETH1_RXN","OffPage","04 ETH","4","MAIN","J2.6,U5.3,U5.4","450","230","4D","{3}"
"ETH1_RXN","OffPage","03 6UL","3","MAIN","U1.75","550","740","4B","{4}"
"POWER_EN","OffPage","05 MODULE","5","MAIN","C29.1,R69.2,U9.5","960","240","3D","{3}"
"POWER_EN","OffPage","03 6UL","3","MAIN","D6.1","370","1000","4A","{5}"
