Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"ETH_RST","Bidirectional","04 EARTHNET","4","SCHEMATIC1","R35.1,U11.15","760","490","3C","{5}"
"ETH_RST","Bidirectional","05 MCU","5","SCHEMATIC1","U12.117","1060","340","2C","{4}"
"RMII_REFCLK","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.14","760","500","3C","{5}"
"RMII_REFCLK","Bidirectional","05 MCU","5","SCHEMATIC1","U12.35","460","410","4C","{4}"
"W25Qxx_SPI_CLK","Bidirectional","05 MCU","5","SCHEMATIC1","J4.13,U12.133,U13.1","1060","180","2D","{3}"
"W25Qxx_SPI_CLK","Bidirectional","03 MODULE","3","SCHEMATIC1","U5.16","410","330","4C","{5}"
"ETH_MDC","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.13","760","510","3C","{5}"
"ETH_MDC","Bidirectional","05 MCU","5","SCHEMATIC1","U12.27","460","330","4C","{4}"
"W25Qxx_SPI_MOSI","Bidirectional","05 MCU","5","SCHEMATIC1","U12.135","1060","160","2D","{3}"
"W25Qxx_SPI_MOSI","Bidirectional","03 MODULE","3","SCHEMATIC1","U5.15","410","340","4C","{5}"
"LED0","Bidirectional","05 MCU","5","SCHEMATIC1","U12.21","460","270","4D","{3}"
"LED0","Bidirectional","03 MODULE","3","SCHEMATIC1","D4.2","900","480","3C","{5}"
"LED1","Bidirectional","05 MCU","5","SCHEMATIC1","U12.22","460","280","4C","{3}"
"LED1","Bidirectional","03 MODULE","3","SCHEMATIC1","D5.2","900","520","3C","{5}"
"SDIO_D1","Bidirectional","05 MCU","5","SCHEMATIC1","J6.11,U12.99","1060","530","2C","{3}"
"SDIO_D1","Bidirectional","03 MODULE","3","SCHEMATIC1","R22.1,U10.8,U9.8","770","890","3A","{3,5}"
"SDIO_D1","Bidirectional","03 MODULE","3","SCHEMATIC1","R22.1,U10.8,U9.8","470","980","4A","{3,5}"
"SDIO_D0","Bidirectional","05 MCU","5","SCHEMATIC1","J6.10,U12.98","1060","540","2C","{3}"
"SDIO_D0","Bidirectional","03 MODULE","3","SCHEMATIC1","R21.1,U10.7,U9.7","470","970","4A","{3,5}"
"SDIO_D0","Bidirectional","03 MODULE","3","SCHEMATIC1","R21.1,U10.7,U9.7","770","900","3A","{3,5}"
"KEY1","Bidirectional","05 MCU","5","SCHEMATIC1","U12.2","460","80","4D","{3}"
"KEY1","Bidirectional","03 MODULE","3","SCHEMATIC1","SW4.3","830","390","3C","{5}"
"SDIO_CLK","Bidirectional","05 MCU","5","SCHEMATIC1","U12.113","1060","380","2C","{3}"
"SDIO_CLK","Bidirectional","03 MODULE","3","SCHEMATIC1","U10.5,U9.5","770","920","3A","{3,5}"
"SDIO_CLK","Bidirectional","03 MODULE","3","SCHEMATIC1","U10.5,U9.5","470","950","4A","{3,5}"
"SDIO_CMD","Bidirectional","05 MCU","5","SCHEMATIC1","U12.116","1060","350","2C","{3}"
"SDIO_CMD","Bidirectional","03 MODULE","3","SCHEMATIC1","R24.2,U10.3,U9.2","770","940","3A","{3,5}"
"SDIO_CMD","Bidirectional","03 MODULE","3","SCHEMATIC1","R24.2,U10.3,U9.2","470","910","4A","{3,5}"
"SDIO_D3","Bidirectional","05 MCU","5","SCHEMATIC1","J6.12,U12.112","1060","390","2C","{3}"
"SDIO_D3","Bidirectional","03 MODULE","3","SCHEMATIC1","R25.2,U10.2,U9.1","470","900","4A","{3,5}"
"SDIO_D3","Bidirectional","03 MODULE","3","SCHEMATIC1","R25.2,U10.2,U9.1","770","950","3A","{3,5}"
"SDIO_D2","Bidirectional","05 MCU","5","SCHEMATIC1","U12.111","1060","400","2C","{3}"
"SDIO_D2","Bidirectional","03 MODULE","3","SCHEMATIC1","R26.2,U10.1,U9.9","470","890","4A","{3,5}"
