Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"ETH_MDC","Bidirectional","04 EARTHNET","4","MAIN","U3.13","780","510","3C","[2]"
"ETH_MDC","Bidirectional","02 MCU","2","MAIN","J1.22,U1.27","520","320","4C","[4]"
"BOOT0","Bidirectional","13 POWER","13","MAIN","R65.2","1030","220","2D","[2]"
"BOOT0","Bidirectional","02 MCU","2","MAIN","R9.1,U1.138","1300","970","2A","[13]"
"LED0","Bidirectional","03 MODULE","3","MAIN","D3.2","950","480","3C","[2]"
"LED0","Bidirectional","02 MCU","2","MAIN","J1.17,U1.21","520","260","4D","[3]"
"LED1","Bidirectional","03 MODULE","3","MAIN","D4.2","950","520","3C","[2]"
"LED1","Bidirectional","02 MCU","2","MAIN","J1.20,U1.22","520","270","4D","[3]"
"DCMI_HREF","Bidirectional","11 CAMERA","11","MAIN","J14.5","500","410","4C","[2]"
"DCMI_HREF","Bidirectional","02 MCU","2","MAIN","J1.25,J5.1,JP1.3,U1.40","150","620","5B","[11]"
"DCMI_D[0..7]","Bidirectional","11 CAMERA","11","MAIN","","500","360","4C","[2,5,6]"
"DCMI_D[0..7]","Bidirectional","02 MCU","2","MAIN","","150","570","5B","[5,6,11]"
"DCMI_PCLK","Bidirectional","11 CAMERA","11","MAIN","J14.16","500","450","4C","[2]"
"DCMI_PCLK","Bidirectional","02 MCU","2","MAIN","J1.27,U1.42","150","660","5B","[11]"
"DCMI_XCLK","Bidirectional","11 CAMERA","11","MAIN","J14.17","500","470","4C","[2,8]"
"DCMI_XCLK","Bidirectional","02 MCU","2","MAIN","J3.27,U1.100","150","680","5B","[8,11]"
"REMOTE_IN","Bidirectional","02 MCU","2","MAIN","J3.27,U1.100","1120","510","2C","[8,11]"
"REMOTE_IN","Bidirectional","08 SENSOR","8","MAIN","R49.1,R51.2,U13.3","730","470","3C","[2,11]"
"DCMI_RESET","Bidirectional","11 CAMERA","11","MAIN","J14.7","500","430","4C","[2]"
"DCMI_RESET","Bidirectional","02 MCU","2","MAIN","J3.8,U1.132","150","640","5B","[11]"
"KEY1","Bidirectional","03 MODULE","3","MAIN","SW4.3","920","370","3C","[2]"
"KEY1","Bidirectional","02 MCU","2","MAIN","J1.3,U1.2","520","70","4D","[3]"
"SDIO_CMD","Bidirectional","05 SD&RF","5","MAIN","R33.1,U4.3","730","340","3C","[2]"
"SDIO_CMD","Bidirectional","02 MCU","2","MAIN","J3.20,U1.116","1120","340","2C","[5]"
"DCMI_SCL","Bidirectional","11 CAMERA","11","MAIN","J14.4","500","510","4C","[2]"
"DCMI_SCL","Bidirectional","02 MCU","2","MAIN","J3.16,U1.122","150","720","5B","[11]"
"DCMI_SDA","Bidirectional","11 CAMERA","11","MAIN","J14.6","500","530","4C","[2]"
"DCMI_SDA","Bidirectional","02 MCU","2","MAIN","J3.15,U1.123","150","740","5B","[11]"
"SDIO_D2","Bidirectional","05 SD&RF","5","MAIN","R35.1,U4.1","730","360","3C","[2]"
"SDIO_D2","Bidirectional","02 MCU","2","MAIN","J3.23,U1.111","1120","390","2C","[5]"
"CAN_RX","Bidirectional","07 485&CAN","7","MAIN","U11.4","680","720","3B","[12]"
"CAN_RX","Bidirectional","12 USB DEVICE&UART","12","MAIN","J19.1","350","770","4B","[7]"
