Designator,Mid X,Mid Y,Layer,Rotation
C1,63,52.6,T,90
C2,65.1,52.6,T,90
C3,61.1,52.3,T,90
C4,72,49.2,T,90
C5,57.7,47.7,T,0
C6,69.8,47.6,T,180
C7,55.4,45.5062,T,90
C8,56.9823,45.5062,T,90
C9,58.6,45.5062,T,90
C10,82,45,T,0
C11,69,42.6,T,180
C12,29.4,41.6,T,90
C13,40.2,41.6,T,90
C14,48.3,34.2,T,0
C15,48.3,32.6,T,0
C16,48.3,30.9,T,0
C17,48.3,29,T,0
C18,48.3,27.7,T,0
C19,65.7,26.6,T,270
C20,48.3,26.4,T,0
C21,67,26.1417,T,270
C22,68.2,26.1417,T,90
C23,70.2,26.1417,T,90
C24,73.4,26.1417,T,90
C25,48.3,24.6,T,0
C26,23.4,23.4,T,180
C27,48.3,23.4,T,0
C28,64.6,22.3,T,180
C29,76.9,21.1,T,180
C30,41.9,18.5,T,270
C31,68.1,16.3,T,270
C32,71.2,16.3,T,270
C33,72.5,15.8,T,90
C34,74.2,9.5,T,180
C35,76.4,7,T,0
C36,66.8,5.1,T,0
C37,81.6,5.1,T,0
D1,81.1446,42.6,T,180
D2,98,34.1,T,0
D3,98,32.7,T,0
F1,72.8,55.9,T,180
J1,51.3,57.27,T,180
J2,6.6,47.2,T,270
J3,12.9,23.9,T,90
J4,89.1,21.5649,T,0
J5,51.3,6.27,T,180
L1,63.3,47.3,T,270
L2,51.4,35.7,T,180
L3,51.4,33.9,T,180
L4,74.1,15.6,T,90
MH1,3.6,57.4,T,0
MH2,96.4,57.4,T,0
MH3,3.6,3.6,T,0
MH4,96.4,3.6,T,0
R1,57.7,52.6,T,180
R2,70.8,52.6,T,0
R3,53.9,51,T,0
R4,53.9,49.8,T,180
R5,69,49.3,T,90
R6,70.5,49.3,T,90
R7,73.2,49.2,T,270
R8,74.4,49.2,T,90
R9,53.9,48.6,T,180
R10,89.2,45.2,T,180
R11,78.4,44.4,T,0
R12,78.4,43.2,T,180
R13,78.4,42,T,180
R14,78.4,40.8,T,0
R15,89.2,40,T,0
R16,95.3,34.1,T,0
R17,95.3,32.7,T,0
R18,72,28.7,T,270
R19,72,26.1417,T,270
R20,23.4,25.1,T,180
R21,74.3,24.1,T,180
R22,74.3,22.9,T,180
R23,23.4,21.9,T,0
R24,64.6,21.1,T,180
R25,74.3,21.1,T,180
R26,74.3,19.9,T,180
R27,64.6,19.6,T,180
R28,38.1,18.5,T,90
R29,74.3,18.1,T,180
R30,66.9,16.3,T,90
R31,96.3,12.4,T,180
R32,96.3,11.2,T,180
R33,76.4,10.9,T,180
R34,76.4,9.5,T,180
R35,74.2,7,T,180
R36,64.7,5.1,T,0
R37,79.5,5.1,T,0
SW1,82.9,57.8,T,0
SW2,67.4,1.4,T,180
SW3,83.3,1.4,T,180
TP1,53.9,44.7,T,90
TP2,73.4,42.6,T,270
TP3,75.4,42.6,T,270
U1,57.7,50.1,T,90
U2,69.8,45.2,T,90
U3,74.4,45.2,T,90
U4,85.1,42.6,T,0
U5,88.7,42.6,T,0
U6,35.4,29.8298,T,90
U7,69.4,21.1,T,180
U8,64.3,16.3,T,0
U9,67.7,8.9,T,90
U10,81.2,8.9,T,90
USB1,92.7,42.6,T,90
X1,51.4,29.9298,T,90
X2,69.2,29.5,T,0
X3,50.8,25.4,T,270
