Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"SD1_DATA0","OffPage","09 CONNECTOR","9","MAIN","U510.49","320","360","4C","{6}"
"SD1_DATA0","OffPage","06 CPU PERI1","6","MAIN","R530.1,U101I.B3","1340","730","1B","{9}"
"SD1_CMD","OffPage","09 CONNECTOR","9","MAIN","U510.53","320","320","4C","{6}"
"SD1_CMD","OffPage","06 CPU PERI1","6","MAIN","R529.1,U101I.C2","1340","710","1B","{9}"
"ENET2_RXD0","OffPage","09 CONNECTOR","9","MAIN","U510.38","320","470","4C","{6}"
"ENET2_RXD0","OffPage","06 CPU PERI1","6","MAIN","U101H.C17","500","900","4A","{9}"
"RESET","OffPage","10 POWER","10","MAIN","R713.2","1310","450","1C","{9}"
"RESET","OffPage","09 CONNECTOR","9","MAIN","U510.40","320","450","4C","{10}"
"CSI_HSYNC","OffPage","09 CONNECTOR","9","MAIN","U510.60","320","250","4D","{6}"
"CSI_HSYNC","OffPage","06 CPU PERI1","6","MAIN","U101E.F3","440","430","4C","{9}"
"ENET_MDIO","OffPage","06 CPU PERI1","6","MAIN","U101K.K17","750","660","3B","{9}"
"GPIO_6","OffPage","09 CONNECTOR","9","MAIN","U511.44","740","410","3C","{6}"
"GPIO_6","OffPage","06 CPU PERI1","6","MAIN","U101K.K17","510","660","4B","{9}"
"ENET2_TXEN","OffPage","09 CONNECTOR","9","MAIN","U510.32","320","530","4C","{6}"
"ENET2_TXEN","OffPage","06 CPU PERI1","6","MAIN","U101H.B15","500","880","4A","{9}"
"ECSPI4_MOSI","OffPage","06 CPU PERI1","6","MAIN","U101H.B15","760","880","3A","{9}"
"ENET2_TX_CLK","OffPage","09 CONNECTOR","9","MAIN","U510.31","320","540","4C","{6}"
"ENET2_TX_CLK","OffPage","06 CPU PERI1","6","MAIN","C513.1,R524.2","500","890","4A","{9}"
"ECSPI4_MISO","OffPage","06 CPU PERI1","6","MAIN","C513.1,R524.2","760","890","3A","{9}"
"USB_OTG2_DN","OffPage","09 CONNECTOR","9","MAIN","U511.55","740","300","3C","{6}"
"USB_OTG2_DN","OffPage","06 CPU PERI1","6","MAIN","U101F.T13","1300","590","2B","{9}"
"USB_OTG1_DN","OffPage","09 CONNECTOR","9","MAIN","U511.53","740","320","3C","{6}"
"USB_OTG1_DN","OffPage","06 CPU PERI1","6","MAIN","U101F.T15","1300","490","2C","{9}"
"CSI_VSYNC","OffPage","09 CONNECTOR","9","MAIN","U510.1","450","250","4D","{6}"
