Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"W25Qxx_SPI_CLK","Bidirectional","03 MODULE","3","SCHEMATIC1","U4.16","410","300","4C","{4}"
"W25Qxx_SPI_CLK","Bidirectional","04 MCU","4","SCHEMATIC1","J1.13,R21.1,U7.133","1060","180","2D","{3}"
"BOOT0","Bidirectional","02 POWER","2","SCHEMATIC1","R6.1","1150","250","2D","{4}"
"BOOT0","Bidirectional","04 MCU","4","SCHEMATIC1","R30.1,U7.138","1060","130","2D","{2}"
"W25Qxx_SPI_MOSI","Bidirectional","03 MODULE","3","SCHEMATIC1","U4.15","410","310","4C","{4}"
"W25Qxx_SPI_MOSI","Bidirectional","04 MCU","4","SCHEMATIC1","U7.135","1060","160","2D","{3}"
"LED0","Bidirectional","03 MODULE","3","SCHEMATIC1","D4.2","1360","400","1C","{4}"
"LED0","Bidirectional","04 MCU","4","SCHEMATIC1","U7.21","460","270","4D","{3}"
"LED1","Bidirectional","03 MODULE","3","SCHEMATIC1","D5.2","1360","440","1C","{4}"
"LED1","Bidirectional","04 MCU","4","SCHEMATIC1","U7.22","460","280","4C","{3}"
"KEY1","Bidirectional","03 MODULE","3","SCHEMATIC1","SW4.3","1290","310","2C","{4}"
"KEY1","Bidirectional","04 MCU","4","SCHEMATIC1","U7.2","460","80","4D","{3}"
"SDIO_CLK","Bidirectional","03 MODULE","3","SCHEMATIC1","U5.5","720","430","3C","{4}"
"SDIO_CLK","Bidirectional","04 MCU","4","SCHEMATIC1","U7.113","1060","380","2C","{3}"
"SDIO_CMD","Bidirectional","03 MODULE","3","SCHEMATIC1","R15.2,U5.3","720","450","3C","{4}"
"SDIO_CMD","Bidirectional","04 MCU","4","SCHEMATIC1","U7.116","1060","350","2C","{3}"
"SDIO_D3","Bidirectional","03 MODULE","3","SCHEMATIC1","R16.2,U5.2","720","460","3C","{4}"
"SDIO_D3","Bidirectional","04 MCU","4","SCHEMATIC1","J2.12,U7.112","1060","390","2C","{3}"
"SDIO_D2","Bidirectional","03 MODULE","3","SCHEMATIC1","R17.2,U5.1","720","470","3C","{4}"
"SDIO_D2","Bidirectional","04 MCU","4","SCHEMATIC1","U7.111","1060","400","2C","{3}"
"IIC_SCL","Bidirectional","03 MODULE","3","SCHEMATIC1","U6.6","470","590","4B","{4}"
"IIC_SCL","Bidirectional","04 MCU","4","SCHEMATIC1","U7.139","1060","120","2D","{3}"
"IIC_SDA","Bidirectional","03 MODULE","3","SCHEMATIC1","U6.5","470","600","4B","{4}"
"IIC_SDA","Bidirectional","04 MCU","4","SCHEMATIC1","U7.140","1060","110","2D","{3}"
"TXD","Bidirectional","02 POWER","2","SCHEMATIC1","R2.1,U1.26","930","100","3D","{4}"
"TXD","Bidirectional","04 MCU","4","SCHEMATIC1","J4.2","230","740","5B","{2}"
"RXD","Bidirectional","02 POWER","2","SCHEMATIC1","R1.1,U1.25","930","110","3D","{4}"
"RXD","Bidirectional","04 MCU","4","SCHEMATIC1","J4.4","230","750","5B","{2}"
"W25Qxx_SPI_MISO","Bidirectional","03 MODULE","3","SCHEMATIC1","U4.8","240","370","5C","{4}"
"W25Qxx_SPI_MISO","Bidirectional","04 MCU","4","SCHEMATIC1","J1.3,R25.1,U7.134","1060","170","2D","{3}"
"W25Qxx_\CS","Bidirectional","03 MODULE","3","SCHEMATIC1","U4.7","240","360","5C","{4}"
"W25Qxx_\CS","Bidirectional","04 MCU","4","SCHEMATIC1","U7.75","1060","770","2B","{3}"
"NRST","Bidirectional","02 POWER","2","SCHEMATIC1","D10.1","1150","160","2D","{4}"
"NRST","Bidirectional","04 MCU","4","SCHEMATIC1","C25.2,J1.15,J3.5,R32.2,SW6.3,U7.25","460","310","4C","{2}"
"SDIO_D1","Bidirectional","03 MODULE","3","SCHEMATIC1","R11.1,U5.8","720","400","3C","{4}"
"SDIO_D1","Bidirectional","04 MCU","4","SCHEMATIC1","J2.11,U7.99","1060","530","2C","{3}"
"SDIO_D0","Bidirectional","03 MODULE","3","SCHEMATIC1","R10.1,U5.7","720","410","3C","{4}"
"SDIO_D0","Bidirectional","04 MCU","4","SCHEMATIC1","J2.10,U7.98","1060","540","2C","{3}"
"BEEP","Bidirectional","03 MODULE","3","SCHEMATIC1","R18.1","1230","580","2B","{4}"
"BEEP","Bidirectional","04 MCU","4","SCHEMATIC1","U7.20","460","260","4D","{3}"
"WK_UP","Bidirectional","03 MODULE","3","SCHEMATIC1","SW2.3","1290","230","2D","{4}"
"WK_UP","Bidirectional","04 MCU","4","SCHEMATIC1","U7.34","460","400","4C","{3}"
"KEY0","Bidirectional","03 MODULE","3","SCHEMATIC1","SW3.3","1290","270","2D","{4}"
"KEY0","Bidirectional","04 MCU","4","SCHEMATIC1","U7.3","460","90","4D","{3}"
"KEY2","Bidirectional","03 MODULE","3","SCHEMATIC1","SW5.3","1290","350","2C","{4}"
"KEY2","Bidirectional","04 MCU","4","SCHEMATIC1","U7.1","460","70","4D","{3}"
