Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CS","OffPage","04 MODULE","4","MAIN","R43.2,U15.4","150","710","5B","(3)"
"CS","OffPage","03 MCU","3","MAIN","U4.128","760","90","3D","(4)"
"RS","OffPage","04 MODULE","4","MAIN","U15.5","150","720","5B","(3)"
"RS","OffPage","03 MCU","3","MAIN","U4.77","1490","620","1B","(4)"
"TFT_RESET","OffPage","04 MODULE","4","MAIN","U15.8","150","750","5B","(3)"
"TFT_RESET","OffPage","03 MCU","3","MAIN","U4.126","1490","60","1D","(4)"
"TP_DCLK","OffPage","04 MODULE","4","MAIN","U16.16","640","700","4B","(3)"
"TP_DCLK","OffPage","03 MCU","3","MAIN","U2.6,U4.141","760","200","3D","(4)"
"TP_CS","OffPage","04 MODULE","4","MAIN","R44.2,U16.15","640","710","4B","(3)"
"TP_CS","OffPage","03 MCU","3","MAIN","U4.140","760","190","3D","(4)"
"TP_DOUT","OffPage","04 MODULE","4","MAIN","U16.12","640","740","4B","(3)"
"TP_DOUT","OffPage","03 MCU","3","MAIN","U2.2,U4.143","760","220","3D","(4)"
"TP_IRQ","OffPage","04 MODULE","4","MAIN","R45.2,U16.11","640","750","4B","(3)"
"TP_IRQ","OffPage","03 MCU","3","MAIN","U4.125","1490","70","1D","(4)"
"BL","OffPage","04 MODULE","4","MAIN","R66.1","440","1070","4A","(3)"
"BL","OffPage","03 MCU","3","MAIN","U4.106","1490","330","1C","(4)"
"RMII0_RXER","OffPage","04 MODULE","4","MAIN","R51.1","1230","810","2B","(3)"
"RMII0_RXER","OffPage","03 MCU","3","MAIN","U4.55","1450","900","1A","(4)"
"RMII0_CRSDV","OffPage","04 MODULE","4","MAIN","R52.1","1230","830","2B","(3)"
"RMII0_CRSDV","OffPage","03 MCU","3","MAIN","R13.1","1450","810","1B","(3,4)"
"RMII0_CRSDV","OffPage","03 MCU","3","MAIN","R13.1","600","240","4D","(3,4)"
"PHY_CLK","OffPage","04 MODULE","4","MAIN","U17.9","800","940","3A","(3)"
"PHY_CLK","OffPage","03 MCU","3","MAIN","R20.2","300","1060","5A","(4)"
"CAN1_TX","OffPage","04 MODULE","4","MAIN","U14.1","480","430","4C","(3)"
"CAN1_TX","OffPage","03 MCU","3","MAIN","U4.45","600","120","4D","(4)"
"SDHC0_D[3..0]","OffPage","04 MODULE","4","MAIN","","650","130","3D","(3)"
"SDHC0_D[3..0]","OffPage","03 MCU","3","MAIN","","600","150","4D","(4)"
